行数	预测值			真实值
188	{'姐俩', '蒋', '张庭'}		{'男', '媒婆'}
189	破坏			东莞
189	{'侵略', '央视', '破坏'}		{'挺住', '东莞'}
190	易小星			冰桶挑战
190	{'璐', '易小星', 'super'}		{'美拍', '冰桶挑战'}
191	crgobaek			尖椒
191	{'样子', '好看', 'crgobaek'}		{'尖椒', '伯贤', '引爆'}
192	抽烟			吴镇宇
192	{'抽烟', '钟情', '男人'}		{'吴镇宇'}
193	追下去			吴奇隆
193	{'紧', '追下去', '真帅'}		{'步步惊情', '吴奇隆'}
194	规模较			前任攻略
194	{'步入', '新开', '规模较'}		{'前任攻略', '让'}
195	behappyandbestrongwiztao			黄子韬
195	{'答案', 'behappyandbestrongwiztao', '黄子韬'}		{'黄子韬'}
196	夸			美拍
196	{'美拍', '妈妈', '夸'}		{'美拍'}
197	43200			爸爸
197	{'准点', '43200', '报时'}		{'回来', '了', '爸爸'}
198	聚散无常			电视剧
198	{'独留', '聚散无常', '昨可'}		{'花千骨', '电视剧'}
199	221b			霍比特
199	{'霍比特', '定档', '221b'}		{'霍比特', '2', '人'}
200	hello			姐姐
200	{'joe', 'hello', '拜托'}		{'grace', '姐姐', '长大'}
201	导航系统			搜寻
201	{'输入', '导航系统', '指令'}		{'370', '马航', '搜寻'}
202	放生			李小璐
202	{'放生', '刻字', '海龟'}		{'李小璐', '放生'}
203	软二网			叫兽
203	{'软二网', '灿食家', '苏先森'}		{'叫兽', '假'}
204	烂熟			吴奇隆
204	{'于心', '烂熟', '温暖'}		{'步步惊情', '吴奇隆'}
205	档吸			花儿与少年
205	{'蒋欣叶', '祖新', '档吸'}		{'第二季', '花儿与少年'}
206	看的上眼			长沙
206	{'中小城市', '穷', '看的上眼'}		{'长沙', '伍家岭', '砍'}
207	限时			让
207	{'红包', '限时', '熟读'}		{'让', '飞', '红包'}
208	车头			广州
208	{'梁梓棋', '物归原主', '车头'}		{'地铁', '踩踏', '广州'}
209	云霄飞车			有
209	{'云霄飞车', '儿子', '玩'}		{'父亲', '有', '一种'}
210	记念			无
210	{'逍遥', '记念', '一发'}		{'胡歌', '不', '无'}
211	女生			春晚
211	{'李敏镐', '女生', '流着'}		{'春晚', '我', '看'}
212	滚回来			汪东城
212	{'找', '再', '滚回来'}		{'娱乐圈', '滚回', '汪东城'}
213	本人			小彩旗
213	{'说用', '费大劲', '本人'}		{'向', '请', '小彩旗'}
214	签售会			搜狗
214	{'写真', '白举纲', '签售会'}		{'携手', '白举纲', '搜狗'}
215	祝你幸福			戚哥
215	{'狠狠', '千言万语', '祝你幸福'}		{'戚哥', '终于', '嫁'}
216	日历			十二道
216	{'日历', '7', '成'}		{'锋味', '十二道'}
217	第五			胡歌
217	{'综合', '搜榜', '第五'}		{'胡歌'}
218	网评			起风
218	{'83', '网评', '宫崎骏'}		{'了', '起风'}
219	carven			巴黎
219	{'张辛苑', '保暖', 'carven'}		{'新浪', '巴黎', '时装周'}
220	量			中国
220	{'量', '承认', '看些'}		{'雨人', '最强大脑', '中国'}
221	欺瞒			李亚鹏
221	{'确有', '可狠', '欺瞒'}		{'回应', '举报', '李亚鹏'}
222	最新更新			马航
222	{'澳大利亚', '停泊', '最新更新'}		{'失联', '马航', '飞机'}
223	搜寻			马航
223	{'区', '面积', '搜寻'}		{'马航', '失事', '飞机'}
224	一菜			舌尖
224	{'一菜', '雅致', '浓墨重彩'}		{'舌尖', '的', '上'}
225	bj			来自星星的你
225	{'小舅子', '基情', 'bj'}		{'来自星星的你', '18'}
226	饼干			小冰
226	{'翻糖', '饼干', '婚庆'}		{'小冰', '复活'}
227	林宥嘉			林宥嘉
227	{'yogalin', '后弹', '林宥嘉'}		{'入伍', '林宥嘉'}
228	吸管			奶茶妹妹
228	{'粗细', '长短', '吸管'}		{'奶茶妹妹', '刘强东', '热恋'}
229	发行			星月
229	{'发行', '尚世', '敲定'}		{'星月', '传奇'}
230	第一条			李承铉
230	{'第一条', '娱乐', '在线'}		{'李承铉', '戚薇', '求婚'}
231	连鞋			扑通
231	{'报告会', '波点', '连鞋'}		{'我', '扑通'}
232	als			冰桶挑战
232	{'病', '罕见', 'als'}		{'冰桶挑战'}
233	惊悚			京城
233	{'81', '惊悚', '京城'}		{'81', '号', '京城'}
234	超伦			周杰伦
234	{'西点', '超伦', '杰式'}		{'周杰伦', '118', '生日快乐'}
235	虽完			一仆二主
235	{'闫妮江', '虽完', '微博孙浩'}		{'一仆二主'}
236	爱奇艺			爱奇艺
236	{'分享', '爱奇艺', '右手'}		{'让', '爱奇艺', '红包'}
237	蛮惨			普渡大学
237	{'蛮惨', 'godblesspurdue', '全校'}		{'枪击案', '普渡大学'}
238	两个			姚笛
238	{'一起', '走', '两个'}		{'姚笛', '出', '滚'}
239	因走			朴有天
239	{'底线', '再也不会', '因走'}		{'朴有天', '快乐大本营'}
240	美帝			曼顿
240	{'安定', '美帝', '纽约'}		{'曼顿', '爆炸'}
241	不出意外			古剑奇谭
241	{'玩', '下集', '不出意外'}		{'古剑奇谭'}
242	鸭子坐			鸭子坐
242	{'鸭子坐', '趴', '233333333ps'}		{'鸭子坐'}
243	初步判断			昆明
243	{'事件', '初步判断', '尽量避免'}		{'昆明'}
244	麦克风			第
244	{'麦克风', '抢', '节奏'}		{'28', '届金', '第'}
245	奖金			李娜
245	{'夺冠', '职业生涯', '奖金'}		{'夺冠', '李娜', '澳网'}
246	嗨			嗨
246	{'嗨', '四爷', '吴奇隆'}		{'嗨', '2014'}
247	文字幕			来自星星的你
247	{'文字幕', '天冷', '保暖'}		{'来自星星的你'}
248	救星			我们
248	{'救星', '语言障碍', '暗地'}		{'结婚', '我们', '了'}
249	李易峰			中国
249	{'我次', '李易峰', '起哄'}		{'男神', '千千万', '中国'}
250	火星			华晨宇
250	{'文望', '敲不出', '火星'}		{'华晨宇', '生日快乐', '0207'}
251	填词			戚薇
251	{'戚哥', '填词', '唱曲'}		{'戚薇'}
252	梅西			微
252	{'钻入', '梅西', '网窝'}		{'微', '世界杯', '5'}
253	平平安安			长沙
253	{'上学', '注意安全', '平平安安'}		{'长沙', '伍家岭', '砍'}
254	秀地			阻止
254	{'几次', '温兆伦', '秀地'}		{'杜汶泽', '来', '阻止'}
255	名			昆明
255	{'名', '暴徒', '受伤'}		{'暴力', '恐怖袭击', '昆明'}
256	琢磨不透			东莞
256	{'琢磨不透', '哎为', '彼此间'}		{'东莞', '丐帮'}
257	春春			我
257	{'陪伴', '情如', '春春'}		{'会', '我', '不知'}
258	数学			美女
258	{'数学系', '数学', '电磁学'}		{'学霸', '美女', '黄雨桐'}
259	屏蔽			宋茜
259	{'清静', '屏蔽', '一面'}		{'茧镇奇缘', '宋茜'}
260	指数			叛逃
260	{'指数', '突破', '播放'}		{'叛逃'}
261	动容			我是歌手
261	{'动容', '股劲', '曹格'}		{'我是歌手'}
262	洗困			一
262	{'福建厦门', '洗困', '摩托'}		{'一', '二分之一', '又'}
263	x			最好
263	{'笑涵', 'x', '笑笑'}		{'的', '最好', '顾源'}
264	胡思乱想			都敏俊
264	{'胡思乱想', '思春', '惊醒'}		{'我', '都敏俊', '救'}
265	华尔街日报			秀智
265	{'日刊', '秀智', '华尔街日报'}		{'秀智'}
266	团			crayonpop
266	{'团', '美爆', '蜡笔'}		{'crayonpop', '滚出', '娱乐圈'}
267	持续			马航
267	{'信号', '盾', '持续'}		{'马航', '失事', '飞机'}
268	马来西亚			马航
268	{'家属', '马来西亚', '以供'}		{'马航', '失事', '飞机'}
269	边缘			不
269	{'未知', '边缘', '寄来'}		{'一样', '不', '的'}
270	市			昆明
270	{'市', '呼啸而过', '安静无声'}		{'昆明'}
271	没死			阻止
271	{'重病', '没死', '恶毒'}		{'杜汶泽', '来', '阻止'}
272	起航			马航
272	{'起航', '出事', '赶赴'}		{'失联', '马航', '飞机'}
273	渐逝			钟汉良
273	{'一如往昔', '流转', '渐逝'}		{'钟汉良'}
274	李玹雨			李玹雨
274	{'情人节', '不忘', '李玹雨'}		{'情人节', '白色', '李玹雨'}
275	威廉			立
275	{'立', '萌主是', '威廉'}		{'立', '730', '威廉'}
276	刷			林心如
276	{'刷', '还'}		{'生日快乐', '林心如', '0127'}
277	魅族			带
277	{'忠于', '用钱', '魅族'}		{'带', '玩', '黄章'}
278	搜寻			马航
278	{'敦促', '刑事案件', '搜寻'}		{'失联', '马航', '飞机'}
279	茜拉能			茜
279	{'茜拉能', 'mama', '唱'}		{'拉', '茜'}
280	城市			全国
280	{'买套', '城市', '房价'}		{'全国', '排行榜', '房价'}
281	天天			早安
281	{'甜甜', '妈带', '天天'}		{'早安', '张悦轩'}
282	后生			我是歌手
282	{'韦唯进', '身先', '后生'}		{'我是歌手', '电视', '超级'}
283	大峰			大峰
283	{'祖师', '大峰', '俞灏明'}		{'祖师', '大峰'}
284	怦然心动			陈思诚
284	{'以爱之名', '成全', '怦然心动'}		{'陈思诚', '佟丽娅', '结婚'}
285	阿树			不
285	{'空降', '好了吗', '阿树'}		{'一样', '不', '的'}
286	托管			东星
286	{'袁善腊', '东盛', '托管'}		{'东星', '兰世立', '集团'}
287	mvmyniceboss			美拍
287	{'mvmyniceboss', '美拍', '点此'}		{'美拍'}
288	大家			张翰
288	{'窝里斗', '大家', '乱了阵脚'}		{'好好', '郑爽', '张翰'}
289	号			祈福
289	{'井冈山', '出发', '号'}		{'祈福', '马航'}
290	统计			京城
290	{'180955', '统计', '网票'}		{'81', '号', '京城'}
291	玩坏			心疼
291	{'玩坏', '存在', '岳父'}		{'心疼', '岳父'}
292	官方消息			马航
292	{'官方消息', '未有', '本次'}		{'失联', '马航', '飞机'}
293	花样			花样年华
293	{'杀伤力', '花样', '邋遢'}		{'花样年华'}
294	肉麻			泰版
294	{'肉麻', '要命', '直白'}		{'泰版', '浪漫满屋'}
295	线索			马航
295	{'决定性', 'lost', '线索'}		{'失联', '马航', '飞机'}
296	主打			酷
296	{'拉回', '歌由春春', '主打'}		{'酷', '1987', '首发'}
297	前途			东莞
297	{'时代', '前途', '狄更斯'}		{'东莞', '丐帮'}
298	信息			马航
298	{'信息', '可能', '卫星'}		{'失联', '马航', '飞机'}
299	发先来			exom
299	{'稍晚', '140420cctv1', '发先来'}		{'exom'}
300	搜救			马航
300	{'搜救', '人员', '四天'}		{'失联', '马航', '飞机'}
301	罗本			微观
301	{'罗本', '更好', '赛后'}		{'微观', '世界杯'}
302	条街			哥斯拉
302	{'萌兽', '条街', '蛋生'}		{'边缘', '哥斯拉', '明日'}
303	叫兽			叫兽
303	{'叫兽', '考求', '阿阿'}		{'叫兽', '假'}
304	梁静茹			大歌
304	{'梁静茹', '胎气', '张泉灵'}		{'星星', '闻', '大歌'}
